"Time (CET)","Day-ahead Total Load Forecast [MW] - United Kingdom (UK)","Actual Total Load [MW] - United Kingdom (UK)"
"07.01.2016 14:30 - 07.01.2016 15:00","48137","49006"
"07.01.2016 15:00 - 07.01.2016 15:30","48286","48614"
"07.01.2016 15:30 - 07.01.2016 16:00","48304","48228"
"07.01.2016 16:00 - 07.01.2016 16:30","48922","48078"
"07.01.2016 16:30 - 07.01.2016 17:00","50575","49122"
"07.01.2016 17:00 - 07.01.2016 17:30","52765","51120"
"07.01.2016 17:30 - 07.01.2016 18:00","54104","53720"
"07.01.2016 18:00 - 07.01.2016 18:30","54388","54738"
"07.01.2016 18:30 - 07.01.2016 19:00","54296","54511"
"07.01.2016 19:00 - 07.01.2016 19:30","53785","54335"
"07.01.2016 19:30 - 07.01.2016 20:00","52931","53582"
"07.01.2016 20:00 - 07.01.2016 20:30","51475","52628"
"07.01.2016 20:30 - 07.01.2016 21:00","49834","51248"
"07.01.2016 21:00 - 07.01.2016 21:30","48161","49804"
"07.01.2016 21:30 - 07.01.2016 22:00","46237","47983"
"07.01.2016 22:00 - 07.01.2016 22:30","43940","46160"
"07.01.2016 22:30 - 07.01.2016 23:00","41551","43817"
"07.01.2016 23:00 - 07.01.2016 23:30","39429","41390"
"07.01.2016 23:30 - 08.01.2016 00:00","37005","39616"
"08.01.2016 00:00 - 08.01.2016 00:30","34989","37599"
"08.01.2016 00:30 - 08.01.2016 01:00","33806","36174"
"08.01.2016 01:00 - 08.01.2016 01:30","33210","35596"
"08.01.2016 01:30 - 08.01.2016 02:00","33280","35466"
"08.01.2016 02:00 - 08.01.2016 02:30","33063","34119"
"08.01.2016 02:30 - 08.01.2016 03:00","32752","32962"
"08.01.2016 03:00 - 08.01.2016 03:30","32714","32602"
"08.01.2016 03:30 - 08.01.2016 04:00","32509","32523"
"08.01.2016 04:00 - 08.01.2016 04:30","31789","32161"
"08.01.2016 04:30 - 08.01.2016 05:00","31076","31667"
"08.01.2016 05:00 - 08.01.2016 05:30","30590","31243"
"08.01.2016 05:30 - 08.01.2016 06:00","30773","31247"
"08.01.2016 06:00 - 08.01.2016 06:30","31628","32170"
"08.01.2016 06:30 - 08.01.2016 07:00","33892","33444"
"08.01.2016 07:00 - 08.01.2016 07:30","37369","37563"
"08.01.2016 07:30 - 08.01.2016 08:00","41566","41595"
"08.01.2016 08:00 - 08.01.2016 08:30","45384","45884"
"08.01.2016 08:30 - 08.01.2016 09:00","47235","48180"
"08.01.2016 09:00 - 08.01.2016 09:30","47645","49253"
"08.01.2016 09:30 - 08.01.2016 10:00","47961","49030"
"08.01.2016 10:00 - 08.01.2016 10:30","48450","49668"
"08.01.2016 10:30 - 08.01.2016 11:00","48367","49760"
"08.01.2016 11:00 - 08.01.2016 11:30","48253","49808"
"08.01.2016 11:30 - 08.01.2016 12:00","48352","50003"
"08.01.2016 12:00 - 08.01.2016 12:30","48445","49861"
"08.01.2016 12:30 - 08.01.2016 13:00","48674","49633"
"08.01.2016 13:00 - 08.01.2016 13:30","49071","49607"
"08.01.2016 13:30 - 08.01.2016 14:00","48696","49338"
"08.01.2016 14:00 - 08.01.2016 14:30","48106","48993"
"08.01.2016 14:30 - 08.01.2016 15:00","48359","48934"
"08.01.2016 15:00 - 08.01.2016 15:30","48305","48871"
"08.01.2016 15:30 - 08.01.2016 16:00","48039","48638"
"08.01.2016 16:00 - 08.01.2016 16:30","48267","48381"
"08.01.2016 16:30 - 08.01.2016 17:00","49796","49301"
"08.01.2016 17:00 - 08.01.2016 17:30","51750","51102"
"08.01.2016 17:30 - 08.01.2016 18:00","52900","53208"
"08.01.2016 18:00 - 08.01.2016 18:30","53189","53867"
"08.01.2016 18:30 - 08.01.2016 19:00","52799","53572"
"08.01.2016 19:00 - 08.01.2016 19:30","52012","53509"
"08.01.2016 19:30 - 08.01.2016 20:00","50835","52960"
